mapping,name,month,year,quarter,value
APST,APST,1,2025,1,24630.67
APST,APST,1,2026,1,21927.92
APST,APST,2,2025,1,23829.09
APST,APST,3,2025,1,44861.76
APST,APST,4,2025,2,29551.72
APST,APST,5,2025,2,30187.2
APST,APST,6,2025,2,33273.18
APST,APST,7,2025,3,36057.16
APST,APST,8,2025,3,34533.73
APST,APST,9,2025,3,38518.82
APST,APST,10,2025,4,43231.77
APST,APST,11,2025,4,39304.92
APST,APST,12,2025,4,48988.36
CIT,CIT,1,2025,1,6635.18
CIT,CIT,1,2026,1,8575
CIT,CIT,2,2025,1,8025
CIT,CIT,3,2025,1,14169.5
CIT,CIT,4,2025,2,10922.5
CIT,CIT,5,2025,2,7290.38
CIT,CIT,6,2025,2,8500
CIT,CIT,7,2025,3,13812.5
CIT,CIT,8,2025,3,11687.5
CIT,CIT,9,2025,3,8755
CIT,CIT,10,2025,4,15742.5
CIT,CIT,11,2025,4,13217.14
CIT,CIT,12,2025,4,18596
EBITDA,EBITDA,1,2025,1,-9235.8462
EBITDA,EBITDA,1,2026,1,60907.84
EBITDA,EBITDA,2,2025,1,-2262.5171
EBITDA,EBITDA,3,2025,1,36134.7822
EBITDA,EBITDA,4,2025,2,14008.6328
EBITDA,EBITDA,5,2025,2,609.6343
EBITDA,EBITDA,6,2025,2,2370.7826
EBITDA,EBITDA,7,2025,3,11548.8938
EBITDA,EBITDA,8,2025,3,4192.7293
EBITDA,EBITDA,9,2025,3,3256.0422
EBITDA,EBITDA,10,2025,4,16776.2339
EBITDA,EBITDA,11,2025,4,18388.8033
EBITDA,EBITDA,12,2025,4,4826.6716
GP_APST,GP_APST,1,2025,1,24630.67
GP_APST,GP_APST,1,2026,1,21927.92
GP_APST,GP_APST,2,2025,1,23829.09
GP_APST,GP_APST,3,2025,1,44861.76
GP_APST,GP_APST,4,2025,2,29551.72
GP_APST,GP_APST,5,2025,2,30187.2
GP_APST,GP_APST,6,2025,2,33273.18
GP_APST,GP_APST,7,2025,3,36057.16
GP_APST,GP_APST,8,2025,3,34533.73
GP_APST,GP_APST,9,2025,3,38518.82
GP_APST,GP_APST,10,2025,4,43231.77
GP_APST,GP_APST,11,2025,4,39304.92
GP_APST,GP_APST,12,2025,4,48988.36
GP_CIT,GP_CIT,1,2025,1,6335.18
GP_CIT,GP_CIT,1,2026,1,8575
GP_CIT,GP_CIT,2,2025,1,8130
GP_CIT,GP_CIT,3,2025,1,13784.5
GP_CIT,GP_CIT,4,2025,2,10474.23
GP_CIT,GP_CIT,5,2025,2,6750.38
GP_CIT,GP_CIT,6,2025,2,7850
GP_CIT,GP_CIT,7,2025,3,14018.81
GP_CIT,GP_CIT,8,2025,3,9576.19
GP_CIT,GP_CIT,9,2025,3,8755
GP_CIT,GP_CIT,10,2025,4,15546.02
